,Low 10,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,High 10
1/1/1927,1,1.01,1.04,1.02,1,1.03,1.01,1.01,0.99,1.01
2/1/1927,1.08,1.05,1.13,1.1,1.04,1.09,1.07,1.05,1.05,1.07
3/1/1927,1.01,1,1.1,1.08,1.03,1.07,1.07,1.03,1.06,1.06
4/1/1927,1.04,0.99,1.1,1.07,1.03,1.07,1.09,1.03,1.08,1.11
5/1/1927,1.05,1.02,1.17,1.13,1.11,1.17,1.16,1.11,1.15,1.22
6/1/1927,0.98,1.01,1.15,1.1,1.08,1.17,1.14,1.1,1.13,1.18
7/1/1927,1.05,1.06,1.21,1.17,1.14,1.23,1.23,1.15,1.19,1.3
8/1/1927,1.02,1.09,1.19,1.17,1.15,1.24,1.25,1.16,1.2,1.28
9/1/1927,1.02,1.14,1.21,1.2,1.17,1.28,1.3,1.2,1.29,1.32
10/1/1927,0.95,1.09,1.15,1.15,1.15,1.25,1.25,1.19,1.23,1.26
11/1/1927,1.23,1.19,1.24,1.25,1.23,1.36,1.35,1.27,1.33,1.37
12/1/1927,1.28,1.2,1.26,1.3,1.29,1.41,1.37,1.29,1.38,1.43
1/1/1928,1.33,1.24,1.3,1.41,1.32,1.41,1.42,1.29,1.39,1.57
2/1/1928,1.33,1.21,1.24,1.4,1.3,1.4,1.38,1.24,1.35,1.48
3/1/1928,1.42,1.28,1.35,1.46,1.37,1.51,1.46,1.33,1.45,1.66
4/1/1928,1.53,1.41,1.55,1.65,1.47,1.74,1.51,1.39,1.51,1.79
5/1/1928,1.75,1.42,1.6,1.66,1.51,1.75,1.56,1.44,1.58,1.89
6/1/1928,1.58,1.32,1.48,1.56,1.41,1.68,1.46,1.33,1.47,1.76
7/1/1928,1.54,1.32,1.46,1.56,1.41,1.7,1.48,1.32,1.49,1.79
8/1/1928,1.61,1.37,1.54,1.6,1.5,1.83,1.56,1.43,1.63,1.92
9/1/1928,1.69,1.46,1.59,1.64,1.55,1.92,1.67,1.5,1.73,2.08
10/1/1928,1.69,1.45,1.61,1.64,1.55,1.93,1.69,1.55,1.78,2.27
11/1/1928,1.84,1.62,1.75,1.81,1.71,2.19,1.94,1.68,1.99,2.7
12/1/1928,1.74,1.6,1.77,1.8,1.69,2.25,1.97,1.7,2,2.68
1/1/1929,1.77,1.64,1.81,1.84,1.75,2.3,2.06,1.77,2.12,2.76
2/1/1929,1.69,1.64,1.83,1.84,1.73,2.31,2.1,1.78,2.17,2.86
3/1/1929,1.6,1.6,1.76,1.79,1.7,2.24,1.98,1.74,2.08,2.88
4/1/1929,1.54,1.64,1.81,1.78,1.71,2.27,2.04,1.78,2.12,2.97
5/1/1929,1.33,1.44,1.69,1.62,1.62,2.1,1.9,1.64,1.92,2.61
6/1/1929,1.38,1.52,1.76,1.72,1.7,2.26,2.05,1.81,2.2,2.95
7/1/1929,1.38,1.49,1.79,1.73,1.74,2.36,2.08,1.86,2.28,2.99
8/1/1929,1.33,1.48,1.8,1.72,1.76,2.45,2.24,1.99,2.46,3.17
9/1/1929,1.24,1.36,1.69,1.65,1.68,2.35,2.16,1.91,2.39,3.13
10/1/1929,0.96,1.06,1.34,1.31,1.43,1.96,1.81,1.55,1.89,2.28
11/1/1929,0.85,0.91,1.18,1.21,1.26,1.8,1.61,1.38,1.63,1.91
12/1/1929,0.74,0.83,1.13,1.18,1.24,1.77,1.56,1.4,1.66,2
1/1/1930,0.92,1,1.3,1.29,1.35,1.89,1.69,1.49,1.74,2.09
2/1/1930,0.96,1.05,1.35,1.33,1.37,1.93,1.73,1.51,1.78,2.17
3/1/1930,1.2,1.19,1.49,1.43,1.53,2.07,1.85,1.62,1.88,2.34
4/1/1930,1.14,1.16,1.36,1.33,1.44,1.98,1.72,1.56,1.88,2.28
5/1/1930,1.03,1.08,1.31,1.27,1.41,1.9,1.69,1.53,1.87,2.22
6/1/1930,0.78,0.83,1.02,1.03,1.13,1.57,1.45,1.34,1.6,1.76
7/1/1930,0.82,0.87,1.06,1.03,1.21,1.65,1.51,1.37,1.63,1.84
8/1/1930,0.76,0.85,1.04,0.99,1.21,1.62,1.51,1.35,1.65,1.85
9/1/1930,0.59,0.68,0.83,0.84,1.02,1.4,1.31,1.2,1.48,1.67
10/1/1930,0.53,0.58,0.73,0.72,0.92,1.28,1.24,1.09,1.37,1.54
11/1/1930,0.53,0.58,0.7,0.71,0.89,1.25,1.2,1.06,1.36,1.53
12/1/1930,0.4,0.47,0.58,0.6,0.75,1.11,1.04,0.96,1.27,1.44
1/1/1931,0.51,0.59,0.68,0.69,0.85,1.24,1.15,1.03,1.33,1.6
2/1/1931,0.64,0.74,0.79,0.81,1.01,1.42,1.3,1.13,1.43,1.72
3/1/1931,0.57,0.66,0.73,0.79,0.93,1.32,1.18,1.07,1.39,1.75
4/1/1931,0.44,0.53,0.59,0.65,0.79,1.12,1.01,0.97,1.24,1.6
5/1/1931,0.36,0.43,0.49,0.56,0.66,0.95,0.88,0.85,1.12,1.47
6/1/1931,0.46,0.56,0.6,0.68,0.81,1.12,1.01,0.95,1.24,1.6
7/1/1931,0.41,0.5,0.54,0.6,0.74,1.07,0.96,0.94,1.19,1.55
8/1/1931,0.41,0.48,0.54,0.58,0.71,1.06,0.94,0.9,1.19,1.54
9/1/1931,0.27,0.3,0.34,0.4,0.48,0.75,0.65,0.64,0.89,1.14
10/1/1931,0.29,0.33,0.38,0.46,0.51,0.8,0.73,0.68,1.02,1.3
11/1/1931,0.25,0.29,0.34,0.4,0.47,0.74,0.68,0.62,0.96,1.25
12/1/1931,0.18,0.22,0.26,0.32,0.38,0.6,0.58,0.54,0.81,1.15
1/1/1932,0.24,0.24,0.28,0.35,0.43,0.65,0.59,0.55,0.84,1.19
2/1/1932,0.24,0.24,0.28,0.34,0.44,0.67,0.61,0.57,0.88,1.22
3/1/1932,0.19,0.2,0.24,0.29,0.39,0.58,0.54,0.52,0.81,1.15
4/1/1932,0.15,0.16,0.2,0.24,0.31,0.47,0.44,0.44,0.69,1.02
5/1/1932,0.11,0.12,0.16,0.19,0.24,0.38,0.35,0.35,0.55,0.85
6/1/1932,0.12,0.13,0.16,0.2,0.25,0.39,0.35,0.36,0.59,0.89
7/1/1932,0.2,0.23,0.25,0.34,0.35,0.54,0.45,0.47,0.7,1
8/1/1932,0.43,0.48,0.44,0.6,0.62,0.88,0.67,0.64,0.97,1.32
9/1/1932,0.38,0.47,0.4,0.55,0.57,0.87,0.62,0.59,0.92,1.29
10/1/1932,0.31,0.4,0.32,0.46,0.49,0.73,0.52,0.5,0.76,1.05
11/1/1932,0.28,0.37,0.32,0.41,0.45,0.68,0.48,0.48,0.71,0.96
12/1/1932,0.25,0.35,0.3,0.39,0.43,0.66,0.47,0.47,0.71,0.96
1/1/1933,0.26,0.37,0.32,0.42,0.44,0.68,0.49,0.49,0.75,0.93
2/1/1933,0.21,0.31,0.25,0.34,0.38,0.57,0.41,0.43,0.65,0.82
3/1/1933,0.22,0.35,0.28,0.36,0.43,0.65,0.45,0.46,0.73,0.92
4/1/1933,0.35,0.56,0.44,0.58,0.62,0.99,0.67,0.72,1.04,1.33
5/1/1933,0.62,0.98,0.74,0.98,0.93,1.49,1.08,1.13,1.44,2.08
6/1/1933,0.82,1.21,0.92,1.23,1.1,1.79,1.3,1.35,1.83,2.4
7/1/1933,0.74,1.07,0.84,1.1,0.99,1.64,1.15,1.26,1.61,2.18
8/1/1933,0.78,1.11,0.95,1.23,1.12,1.89,1.31,1.45,1.81,2.42
9/1/1933,0.61,0.92,0.79,1.03,0.96,1.71,1.12,1.25,1.56,2.05
10/1/1933,0.56,0.82,0.7,0.93,0.84,1.53,1,1.09,1.39,1.83
11/1/1933,0.56,0.85,0.76,1.02,0.9,1.62,1.09,1.21,1.46,1.94
12/1/1933,0.55,0.84,0.78,1.05,0.92,1.64,1.13,1.26,1.5,2
1/1/1934,0.78,1.16,1.05,1.37,1.22,2.12,1.42,1.6,2.03,2.53
2/1/1934,0.79,1.16,1.06,1.4,1.23,2.12,1.44,1.6,2.03,2.62
3/1/1934,0.78,1.17,1.09,1.39,1.23,2.1,1.47,1.63,2.04,2.68
4/1/1934,0.79,1.16,1.13,1.41,1.23,2.12,1.44,1.64,2.03,2.58
5/1/1934,0.72,1.06,1.02,1.28,1.1,1.86,1.27,1.44,1.75,2.26
6/1/1934,0.7,1.05,1.02,1.28,1.11,1.88,1.29,1.47,1.72,2.25
7/1/1934,0.54,0.81,0.79,1.02,0.89,1.54,1.03,1.29,1.49,1.85
