Date,Decile 1,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,High 10,
1/1/1927," 45,057 "," 9,342 ", 599 ," 1,778 "," 103,736 "," 1,087 "," 4,633 "," 24,570 "," 28,558 "," 7,267 "
2/1/1927, 151 , 690 , 156 , 187 , 457 , 353 , 362 , 564 , 319 , 339 
3/1/1927, 248 , 363 ," 1,723 "," 3,844 "," 3,703 "," 3,401 "," 41,853 "," 4,207 "," 73,316 "," 16,308 "
4/1/1927," 1,506 "," 11,455 "," 1,001,000 "," 6,861 "," 1,235,679 "," 62,750 "," 6,279 "," 30,603 "," 2,074 ", 535 
5/1/1927," 8,061 ", 746 , 294 , 394 , 189 , 127 , 244 , 161 , 224 , 110 
6/1/1927, 190 ," 8,174 "," 2,579 "," 2,552 "," 1,487 "," 592,485 "," 4,889 "," 11,706 "," 1,815 "," 1,365 "
7/1/1927, 222 , 567 , 386 , 278 , 354 , 455 , 193 , 494 , 329 , 121 
8/1/1927," 1,768 ", 990 ," 8,975 "," 1,563,750 "," 4,227 "," 18,397 "," 2,765 "," 23,108 "," 45,482 "," 4,045 "
9/1/1927," 31,709 ", 557 ," 8,509 "," 1,440 "," 4,825 ", 774 , 845 , 845 , 193 , 889 
10/1/1927, 210 , 474 , 375 , 439 ," 4,045 "," 1,063 ", 761 ," 7,743 ", 501 , 474 
11/1/1927, 15 , 120 , 160 , 143 , 223 , 134 , 170 , 205 , 175 , 156 
12/1/1927, 569 ," 11,670 "," 3,825 ", 547 , 474 , 673 ," 4,069 "," 4,452 ", 537 , 437 
1/1/1928, 921 ," 1,073 ", 949 , 163 ," 2,294 "," 825,537 ", 905 ," 827,355 "," 18,902 ", 123 
2/1/1928," 189,471 "," 1,430 ", 480 ," 22,805 "," 6,025 "," 17,645 "," 1,315 ", 606 , 933 , 321 
3/1/1928, 210 , 279 , 160 , 613 , 350 , 174 , 297 , 193 , 184 , 81 
4/1/1928, 185 , 107 , 50 , 63 , 199 , 51 , 822 , 625 , 712 , 163 
5/1/1928, 57 ," 32,066 "," 1,275 "," 695,278 "," 1,462 "," 9,902 ", 905 , 822 , 523 , 329 
6/1/1928, 99 , 209 , 165 , 280 , 218 , 571 , 196 , 154 , 217 , 184 
7/1/1928," 1,723 "," 97,344 "," 9,149 "," 2,779,445 "," 226,281 "," 11,924 "," 2,852 "," 97,344 "," 4,571 "," 2,823 "
8/1/1928, 480 , 577 , 386 ," 1,680 ", 240 , 166 , 409 , 153 , 140 , 220 
9/1/1928, 478 , 255 ," 1,020 "," 1,778 "," 1,008 ", 525 , 207 , 442 , 280 , 157 
10/1/1928," 390,000 "," 7,475 "," 4,019 "," 99,990,000 "," 345,433 "," 21,149 "," 9,902 "," 1,349 "," 1,115 ", 127 
11/1/1928, 136 , 79 , 139 , 100 , 100 , 62 , 52 , 135 , 76 , 33 
12/1/1928, 302 ," 7,883 "," 8,355 "," 15,897 "," 6,320 "," 1,529 "," 5,729 "," 17,911 "," 695,278 "," 29,554 "
