Date,Low 10,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,High 10
1/1/1927, (0.47), 1.04 , 4.17 , 2.40 , (0.31), 3.08 , 1.48 , 0.64 , (0.59), 1.18 
2/1/1927, 8.49 , 3.88 , 8.33 , 7.59 , 4.79 , 5.47 , 5.40 , 4.30 , 5.76 , 5.58 
3/1/1927, (6.15), (5.11), (2.38), (1.60), (1.63), (1.70), 0.49 , (1.53), 0.37 , (0.78)
4/1/1927, 2.61 , (0.93), 0.10 , (1.20), 0.09 , 0.40 , 1.27 , (0.57), 2.22 , 4.42 
5/1/1927, 1.12 , 3.73 , 6.01 , 5.17 , 7.55 , 9.27 , 6.61 , 8.21 , 6.91 , 10.00 
6/1/1927, (6.99), (1.10), (1.95), (1.96), (2.56), 0.13 , (1.42), (0.92), (2.32), (2.67)
7/1/1927, 6.94 , 4.29 , 5.22 , 6.18 , 5.46 , 4.80 , 7.46 , 4.60 , 5.67 , 9.50 
8/1/1927, (2.35), 3.23 , (1.05), 0.08 , 1.55 , 0.74 , 1.92 , 0.66 , 0.47 , (1.56)
9/1/1927, (0.56), 4.33 , 1.09 , 2.67 , 1.45 , 3.66 , 3.50 , 3.50 , 7.46 , 3.41 
10/1/1927, (6.67), (4.49), (5.03), (4.66), (1.56), (3.02), (3.56), (1.13), (4.37), (4.49)
11/1/1927, 29.73 , 9.54 , 8.22 , 8.73 , 6.93 , 9.03 , 7.96 , 7.23 , 7.85 , 8.33 
12/1/1927, 4.28 , 0.93 , 1.63 , 4.37 , 4.70 , 3.93 , 1.58 , 1.51 , 4.41 , 4.90 
1/1/1928, 3.35 , 3.10 , 3.30 , 8.16 , 2.11 , (0.11), 3.38 , 0.11 , 0.73 , 9.42 
2/1/1928, 0.23 , (2.61), (4.46), (0.66), (1.28), (0.75), (2.72), (3.98), (3.22), (5.43)
3/1/1928, 7.15 , 6.17 , 8.23 , 4.12 , 5.49 , 7.88 , 5.97 , 7.46 , 7.65 , 11.77 
4/1/1928, 7.62 , 10.14 , 15.25 , 13.48 , 7.35 , 14.96 , 3.55 , 4.08 , 3.82 , 8.14 
5/1/1928, 14.10 , 0.56 , 2.84 , 0.12 , 2.65 , 1.01 , 3.38 , 3.55 , 4.47 , 5.67 
