Date,Low 10,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,High 10
1/1/1927, (0.00), 0.01 , 0.04 , 0.02 , (0.00), 0.03 , 0.01 , 0.01 , (0.01), 0.01 
2/1/1927, 0.08 , 0.04 , 0.08 , 0.07 , 0.05 , 0.05 , 0.05 , 0.04 , 0.06 , 0.05 
3/1/1927, (0.06), (0.05), (0.02), (0.02), (0.02), (0.02), 0.00 , (0.02), 0.00 , (0.01)
4/1/1927, 0.03 , (0.01), 0.00 , (0.01), 0.00 , 0.00 , 0.01 , (0.01), 0.02 , 0.04 
5/1/1927, 0.01 , 0.04 , 0.06 , 0.05 , 0.07 , 0.09 , 0.06 , 0.08 , 0.07 , 0.10 
6/1/1927, (0.07), (0.01), (0.02), (0.02), (0.03), 0.00 , (0.01), (0.01), (0.02), (0.03)
7/1/1927, 0.07 , 0.04 , 0.05 , 0.06 , 0.05 , 0.05 , 0.07 , 0.04 , 0.06 , 0.09 
8/1/1927, (0.02), 0.03 , (0.01), 0.00 , 0.02 , 0.01 , 0.02 , 0.01 , 0.00 , (0.02)
9/1/1927, (0.01), 0.04 , 0.01 , 0.03 , 0.01 , 0.04 , 0.03 , 0.03 , 0.07 , 0.03 
10/1/1927, (0.07), (0.05), (0.05), (0.05), (0.02), (0.03), (0.04), (0.01), (0.04), (0.05)
11/1/1927, 0.26 , 0.09 , 0.08 , 0.08 , 0.07 , 0.09 , 0.08 , 0.07 , 0.08 , 0.08 
12/1/1927, 0.04 , 0.01 , 0.02 , 0.04 , 0.05 , 0.04 , 0.02 , 0.01 , 0.04 , 0.05 
1/1/1928, 0.03 , 0.03 , 0.03 , 0.08 , 0.02 , (0.00), 0.03 , 0.00 , 0.01 , 0.09 
2/1/1928, 0.00 , (0.03), (0.05), (0.01), (0.01), (0.01), (0.03), (0.04), (0.03), (0.06)
3/1/1928, 0.07 , 0.06 , 0.08 , 0.04 , 0.05 , 0.08 , 0.06 , 0.07 , 0.07 , 0.11 
4/1/1928, 0.07 , 0.10 , 0.14 , 0.13 , 0.07 , 0.14 , 0.03 , 0.04 , 0.04 , 0.08 
5/1/1928, 0.13 , 0.01 , 0.03 , 0.00 , 0.03 , 0.01 , 0.03 , 0.03 , 0.04 , 0.06 
6/1/1928, (0.10), (0.07), (0.08), (0.06), (0.07), (0.04), (0.07), (0.08), (0.07), (0.07)
7/1/1928, (0.02), (0.00), (0.01), 0.00 , (0.00), 0.01 , 0.02 , (0.00), 0.01 , 0.02 
8/1/1928, 0.05 , 0.04 , 0.05 , 0.02 , 0.06 , 0.08 , 0.05 , 0.08 , 0.08 , 0.07 
9/1/1928, 0.05 , 0.06 , 0.03 , 0.02 , 0.03 , 0.04 , 0.07 , 0.05 , 0.06 , 0.08 
10/1/1928, (0.00), (0.01), 0.02 , (0.00), (0.00), 0.01 , 0.01 , 0.03 , 0.03 , 0.09 
11/1/1928, 0.09 , 0.11 , 0.08 , 0.10 , 0.10 , 0.13 , 0.14 , 0.09 , 0.11 , 0.17 
12/1/1928, (0.06), (0.01), 0.01 , (0.01), (0.01), 0.03 , 0.01 , 0.01 , 0.00 , (0.01)
1/1/1929, 0.02 , 0.02 , 0.02 , 0.02 , 0.04 , 0.02 , 0.05 , 0.04 , 0.06 , 0.03 
2/1/1929, (0.04), 0.00 , 0.01 , (0.00), (0.01), 0.01 , 0.02 , 0.01 , 0.02 , 0.04 
3/1/1929, (0.06), (0.03), (0.04), (0.02), (0.02), (0.03), (0.06), (0.02), (0.04), 0.01 
4/1/1929, (0.04), 0.02 , 0.03 , (0.01), 0.01 , 0.01 , 0.03 , 0.02 , 0.02 , 0.03 
5/1/1929, (0.15), (0.13), (0.07), (0.09), (0.05), (0.08), (0.07), (0.08), (0.10), (0.13)
6/1/1929, 0.04 , 0.05 , 0.04 , 0.06 , 0.04 , 0.07 , 0.08 , 0.10 , 0.14 , 0.12 
