Date,Lo 10,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Hi 10
1/1/1927,0.99953,1.00104,1.00417,1.0024,0.99969,1.00308,1.00148,1.00064,0.99941,1.00118
2/1/1927,1.00801601,1.004924035,1.012534736,1.010008216,1.004478515,1.008566848,1.006887992,1.004942752,1.005166602,1.006766584
3/1/1927,1.001816711,0.999788873,1.010124903,1.008392203,1.002841215,1.006852284,1.007381367,1.00340519,1.005538513,1.005981306
4/1/1927,1.004431453,0.99885907,1.010225916,1.007182132,1.002931471,1.007255025,1.008660741,1.002833249,1.007770809,1.010427744
5/1/1927,1.005556416,1.002584814,1.016297374,1.012389264,1.010503603,1.016592279,1.015327989,1.01106651,1.014734505,1.020532021
6/1/1927,0.998527577,1.001481971,1.014315594,1.010404981,1.007916714,1.016724436,1.013886223,1.010136328,1.012380321,1.017807201
7/1/1927,1.005457358,1.005778328,1.019610321,1.016649284,1.013419939,1.021604713,1.021449814,1.014782956,1.018120517,1.027476369
8/1/1927,1.003094533,1.009026992,1.01853973,1.016730616,1.01499074,1.022360701,1.023410998,1.015452712,1.018599034,1.025873506
9/1/1927,1.0025328,1.013396079,1.019649939,1.019445286,1.016462477,1.026102541,1.026992937,1.019006797,1.026197783,1.029371735
10/1/1927,0.995845907,1.008845931,1.014521099,1.014694671,1.014876795,1.023003711,1.023336842,1.017855319,1.021713299,1.024749856
11/1/1927,1.025452405,1.018470321,1.022860463,1.023552956,1.021909892,1.032241435,1.031482603,1.025214413,1.029733748,1.033286022
12/1/1927,1.029841342,1.019417498,1.024527725,1.028025882,1.026712868,1.036298144,1.033112345,1.026762487,1.034274874,1.038349123
1/1/1928,1.03329131,1.022577693,1.027908667,1.036414573,1.028879232,1.036184151,1.036604265,1.026875431,1.035029894,1.048130372
2/1/1928,1.033528967,1.019908765,1.023324194,1.03573054,1.027562267,1.035407013,1.033784702,1.022788466,1.031697098,1.042439024
3/1/1928,1.040918699,1.026201602,1.031746152,1.03999775,1.033203584,1.04356602,1.039956396,1.030418468,1.039589581,1.054708532
4/1/1928,1.0488505,1.036607286,1.047480281,1.054016919,1.04079763,1.059177768,1.043648241,1.034622576,1.043560813,1.063293859
5/1/1928,1.063639292,1.037187786,1.050455125,1.054143401,1.043555744,1.060247537,1.047175773,1.038295486,1.04822553,1.069322735
6/1/1928,1.0534709,1.030259372,1.042597721,1.04802937,1.036720454,1.055900522,1.039960731,1.030248696,1.041349171,1.061719851
7/1/1928,1.050963639,1.029929689,1.041513419,1.048092251,1.036502742,1.056871951,1.041926257,1.029919016,1.042900781,1.063737118
8/1/1928,1.05587164,1.03430689,1.046950119,1.050681039,1.043416216,1.065390339,1.047208823,1.038590934,1.052099166,1.071162003
9/1/1928,1.060813119,1.040988513,1.050279421,1.053202674,1.046755148,1.07014198,1.054738255,1.043648872,1.058580097,1.080052648
10/1/1928,1.060643389,1.039791376,1.051949365,1.053192142,1.046577199,1.070880378,1.05580354,1.046529343,1.06179818,1.090075537
11/1/1928,1.070136147,1.052133699,1.061259117,1.064282255,1.057555794,1.085337263,1.071535013,1.055927177,1.074699028,1.110667063
12/1/1928,1.064154086,1.05095531,1.062426502,1.063441472,1.056233849,1.088148286,1.072960155,1.056719122,1.074827992,1.110022877
1/1/1929,1.065931223,1.053519641,1.064360118,1.065759774,1.060099665,1.090651027,1.0781962,1.06150606,1.081244715,1.113053239
2/1/1929,1.061678158,1.05374088,1.06575443,1.065749117,1.058986561,1.091403576,1.080190863,1.062153578,1.083915389,1.117227189
3/1/1929,1.055902629,1.050980079,1.061960344,1.063351181,1.056709739,1.087845601,1.074130993,1.059689382,1.079438819,1.118154487
4/1/1929,1.051710695,1.05354447,1.064986931,1.062543034,1.057650211,1.089346828,1.077181525,1.061819358,1.081835173,1.121520132
5/1/1929,1.037428464,1.040512125,1.057989967,1.053192656,1.052097547,1.081209407,1.069802831,1.053303566,1.071363008,1.107770295
6/1/1929,1.041370692,1.046359803,1.06191511,1.059690854,1.056863549,1.089459035,1.078307764,1.064468584,1.08730489,1.122204542
7/1/1929,1.040964558,1.044214766,1.064017702,1.060051149,1.059748787,1.094448757,1.07987131,1.067725858,1.091066965,1.123966403
8/1/1929,1.037487736,1.043734427,1.064443309,1.059277312,1.060903913,1.098257439,1.088024338,1.074740817,1.099588198,1.13044045
9/1/1929,1.030183822,1.035457613,1.058258893,1.055135538,1.056278372,1.094095043,1.084412097,1.070463349,1.096443376,1.129298705
10/1/1929,1.007066497,1.012304781,1.035950796,1.033463054,1.040624326,1.075845538,1.066909686,1.05027441,1.073670247,1.098480143
11/1/1929,0.995807494,0.998689281,1.02343651,1.025112672,1.027970335,1.067281807,1.05517368,1.039141501,1.058767704,1.080882492
12/1/1929,0.98258317,0.988972035,1.019782842,1.022713909,1.026551736,1.064987151,1.051459468,1.040398862,1.060429969,1.085778889
1/1/1930,1.006803846,1.009849234,1.034467715,1.032266056,1.035605922,1.072314263,1.060123494,1.046766103,1.065647285,1.090838619
2/1/1930,1.011576096,1.014605624,1.038491794,1.035497049,1.037200755,1.074716247,1.062848012,1.048514203,1.068098273,1.094983806
3/1/1930,1.036177626,1.028566597,1.04971789,1.04381209,1.048890008,1.08280886,1.070404861,1.056168356,1.074346648,1.10349183
4/1/1930,1.031380124,1.026036324,1.04008148,1.035931309,1.042869379,1.077990361,1.062901323,1.05211267,1.074464826,1.100424122
5/1/1930,1.021313854,1.018402613,1.036357988,1.031808303,1.040992214,1.073408902,1.061147536,1.049829585,1.07389536,1.097629045
6/1/1930,0.99617932,0.995254322,1.013444113,1.012327762,1.02018278,1.055139482,1.046100464,1.03723163,1.058098359,1.074875195
7/1/1930,1.001219987,0.999583678,1.017852595,1.012125296,1.026997601,1.060499591,1.050368554,1.039472051,1.060415595,1.079873365
8/1/1930,0.994311569,0.997064727,1.015908497,1.008532251,1.026853821,1.058314962,1.050326539,1.037559422,1.061486614,1.080391704
9/1/1930,0.972605748,0.977113462,0.995204282,0.992567186,1.011461282,1.043784297,1.03630468,1.02590763,1.050521458,1.069825473
10/1/1930,0.962480922,0.963463187,0.98282394,0.978621617,1.001316326,1.034953882,1.030408106,1.017248969,1.042852651,1.061577119
11/1/1930,0.962683043,0.963299398,0.979423369,0.976801381,0.998312377,1.032397546,1.027069584,1.013658081,1.041861941,1.060738473
12/1/1930,0.938683355,0.945121939,0.962077782,0.962217736,0.982389294,1.020958581,1.013389017,1.004758163,1.035194025,1.054416471
